time_s,target_angle_rad,actual_angle_rad,target_ang_vel_rad_s,actual_ang_vel_rad_s,model_torque_nm,angular_acceleration_rad_s2
0.0,0.0,-2.867050934582949e-07,2.4674011002723395,-2.867050934582949e-05,-0.00028670509345829487,-0.0028670509345829487
0.01,0.024669952490881684,-1.5770577592775226e-06,2.4661835867758275,-0.00012903526658192277,-0.0010036475723609328,-0.010036475723609328
0.02,0.04931555871709433,-6.353178061544896e-06,2.462532247825121,-0.00047761203022673727,-0.003485767636448145,-0.03485767636448145
0.03,0.07391249644079276,-1.862542296294123e-05,2.4564506868509315,-0.0012272244901396334,-0.0074961245991289616,-0.07496124599128962
0.04,0.09843649145406798,-4.371785768307746e-05,2.447944905619706,-0.0025092434720136226,-0.012820189818739891,-0.1282018981873989
0.05,0.12286334153465965,-8.809231489431113e-05,2.437023298310604,-0.0044374457211233675,-0.01928202249109745,-0.1928202249109745
0.06,0.14716894033062758,-0.0001591960578225553,2.423696643231458,-0.0071103742928244175,-0.026729285717010498,-0.267292857170105
0.07,0.17132930115041073,-0.00026532489445526154,2.4079780921818843,-0.010612883663270622,-0.03502509370446205,-0.3502509370446205
0.08,0.1953205806347956,-0.0004154987472575158,2.389883157474045,-0.015017385280225427,-0.044045016169548035,-0.44045016169548035
0.09,0.21911910228743342,-0.0006193486427655444,2.3694296966238695,-0.020384989550802857,-0.05367604270577431,-0.5367604270577431
0.1,0.2427013798406833,-0.0008870144896209241,2.34663789472784,-0.026766584685537966,-0.06381595134735107,-0.6381595134735107
0.11,0.26604414043372315,-0.0012290528217563407,2.321530244542741,-0.03420383321354166,-0.07437248528003693,-0.7437248528003693
0.12,0.28912434758005323,-0.001656353594036773,2.294131524288021,-0.04273007722804323,-0.08526244014501572,-0.8526244014501572
0.13,0.3119192239017273,-0.0021800650133518506,2.264468773192684,-0.052371141931507735,-0.09641064703464508,-0.9641064703464508
0.14,0.3344062736078747,-0.0028115254999138417,2.2325712648108342,-0.06314604865619913,-0.10774906724691391,-1.077490672469139
0.15,0.35656330469532976,-0.003562201720778831,2.198470478132212,-0.07506762208649889,-0.11921573430299759,-1.192157343029976
0.16,0.3783684508494601,-0.00444363209954463,2.1622000665162298,-0.08814303787657991,-0.13075415790081024,-1.3075415790081024
0.17,0.39980019302357855,-0.005467374930507504,2.1237958244801742,-0.1023742830962874,-0.1423124521970749,-1.423124521970749
0.18,0.420837380675645,-0.006644960762001575,2.083295652374334,-0.11775858314940707,-0.1538430005311966,-1.538430005311966
0.19,0.4414592526412973,-0.007987848348566333,2.040739518978932,-0.13428875865647572,-0.16530175507068634,-1.6530175507068634
0.2,0.46164545762261416,-0.009507383940974253,1.9961694220597663,-0.15195355924079196,-0.17664800584316254,-1.7664800584316254
0.21,0.48137607427238893,-0.011214763571391817,1.9496293469214825,-0.1707379630417563,-0.18784403800964355,-1.8784403800964355
0.22,0.5006316308540948,-0.013120997916441415,1.9011652229993907,-0.19062343450495975,-0.1988547146320343,-1.988547146320343
0.23,0.5193931244581368,-0.015236879708361815,1.8508248785326575,-0.21158817919204012,-0.20964744687080383,-2.0964744687080383
0.24,0.5376420397554306,-0.017572953366441657,1.798657993363608,-0.23360736580798402,-0.2201918661594391,-2.201918661594391
0.25,0.5553603672697958,-0.020139486640109686,1.7447160499097198,-0.25665332736680285,-0.23045961558818817,-2.3045961558818817
0.26,0.5725306211511354,-0.022946444248780614,1.689052282356692,-0.28069576086709275,-0.24042433500289917,-2.4042433500289917
0.27,0.5891358564318584,-0.026003463220433336,1.6317216241227317,-0.30570189716527235,-0.25006136298179626,-2.5006136298179626
0.28,0.6051596857495171,-0.029319829988526183,1.5727806536459012,-0.3316366768092848,-0.2593477964401245,-2.593477964401245
0.29,0.6205862955191552,-0.032904458904522475,1.5122875385480323,-0.3584628915996291,-0.2682621479034424,-2.682621479034424
0.3,0.6354004615394074,-0.036765872240532196,1.4503019782303028,-0.38614133360097186,-0.27678442001342773,-2.7678442001342773
0.31,0.6495875640169476,-0.04091218165226747,1.3868851449571402,-0.4146309411735274,-0.2848960757255554,-2.848960757255554
0.32,0.6631336019944601,-0.045351070834090935,1.3220996234865774,-0.443888918182347,-0.2925797700881958,-2.925797700881958
0.33,0.6760252071678942,-0.050089779336354695,1.2560093493066553,-0.4738708502263762,-0.29981932044029236,-2.9981932044029236
0.34,0.6882496570793659,-0.05513508769404143,1.188679545538814,-0.5045308357686735,-0.30659985542297363,-3.0659985542297363
0.35000000000000003,0.6997948876726882,-0.060493303449475205,1.120176658570547,-0.5358215755433775,-0.3129073977470398,-3.129073977470398
0.36,0.7106495051991384,-0.06617024839692749,1.0505682924808375,-0.5676944947452284,-0.3187291920185089,-3.187291920185089
0.37,0.7208027974617114,-0.0721712466616882,0.9799231423230963,-0.600099826476071,-0.3240533173084259,-3.240533173084259
0.38,0.7302447443867661,-0.07850111385202035,0.9083109263314375,-0.6329867190332151,-0.32886892557144165,-3.2886892557144165
0.39,0.7389660279126276,-0.08516414695617278,0.8358023171171962,-0.6663033104152418,-0.3331659138202667,-3.3316591382026672
0.4,0.7469580411853889,-0.09216411525267176,0.7624688719235967,-0.6999968296498991,-0.3369351923465729,-3.3693519234657288
0.41000000000000003,0.7542128970528376,-0.09950425202527549,0.6883829620073912,-0.7340136772603727,-0.34016847610473633,-3.4016847610473633
0.42,0.7607234358481215,-0.10718724696338176,0.6136177012171671,-0.7682994938106276,-0.3428581655025482,-3.428581655025482
0.43,0.7664832324554769,-0.11521523948630784,0.538246873838804,-0.802799252292607,-0.3449975848197937,-3.449975848197937
0.44,0.7714866026510409,-0.12358981266361661,0.4623448617792946,-0.8374573177308775,-0.3465806543827057,-3.465806543827057
0.45,0.7757286087124946,-0.13231198794010562,0.3859865711607806,-0.8722175276488997,-0.34760209918022156,-3.4760209918022156
0.46,0.7792050642919989,-0.14138222054624933,0.3092473583972544,-0.9070232606143691,-0.3480573296546936,-3.480573296546936
0.47000000000000003,0.7819125385476144,-0.15080039562389724,0.2322029558268762,-0.9418175077647902,-0.3479424715042114,-3.4794247150421143
0.48,0.7838483595291283,-0.16056582494801847,0.15492939697330002,-0.9765429324121214,-0.3472542464733124,-3.472542464733124
0.49,0.7850106168149463,-0.17067724424449265,0.07750294150976338,-1.0111419296474196,-0.34598997235298157,-3.4598997235298157
0.5,0.7853981633974483,-0.18113281131256376,1.510847429830589e-16,-1.0455567068071103,-0.34414777159690857,-3.4414777159690857
0.51,0.7850106168149463,-0.19193010456452617,-0.07750294150976308,-1.0797293251962399,-0.3417261838912964,-3.417261838912964
0.52,0.7838483595291283,-0.20306612239987593,-0.15492939697329972,-1.1136017835349774,-0.3387245833873749,-3.387245833873749
0.53,0.7819125385476144,-0.2145372828774853,-0.23220295582687644,-1.1471160477609372,-0.3351426422595978,-3.351426422595978
0.54,0.7792050642919988,-0.2263394243414514,-0.3092473583972547,-1.1802141463966107,-0.33098098635673523,-3.3098098635673523
0.55,0.7757286087124945,-0.2384678064641776,-0.3859865711607809,-1.2128382122726178,-0.3262406587600708,-3.262406587600708
0.56,0.7714866026510409,-0.25091711179609416,-0.4623448617792948,-1.2449305331916547,-0.32092320919036865,-3.2092320919036865
0.5700000000000001,0.766483232455477,-0.2636814481200418,-0.5382468738388037,-1.2764336323947645,-0.3150309920310974,-3.150309920310974
0.58,0.7607234358481216,-0.27675435122288766,-0.6136177012171663,-1.3072903102845883,-0.30856677889823914,-3.0856677889823914
0.59,0.7542128970528376,-0.2901287883823971,-0.688382962007391,-1.3374437159509396,-0.3015340566635132,-3.015340566635132
0.6,0.746958041185389,-0.3037971625097562,-0.7624688719235964,-1.3668374127359126,-0.29393696784973145,-2.9393696784973145
0.61,0.7389660279126276,-0.31775131679873453,-0.8358023171171959,-1.3954154288978313,-0.2857801616191864,-2.857801616191864
0.62,0.7302447443867661,-0.3319825401199051,-0.9083109263314373,-1.4231223321170543,-0.2770690321922302,-2.7706903219223022
0.63,0.7208027974617115,-0.34648157301091126,-0.9799231423230961,-1.4499032891006205,-0.26780956983566284,-2.6780956983566284
0.64,0.7106495051991383,-0.3612386144415941,-1.0505682924808377,-1.4757041430682871,-0.25800853967666626,-2.5800853967666626
0.65,0.6997948876726883,-0.37624332917516584,-1.1201766585705468,-1.5004714733571742,-0.24767330288887024,-2.4767330288887024
0.66,0.6882496570793657,-0.3914848558148369,-1.1886795455388148,-1.5241526639671061,-0.23681190609931946,-2.3681190609931946
0.67,0.6760252071678942,-0.40695181571471034,-1.2560093493066555,-1.546695989987347,-0.22543326020240784,-2.2543326020240784
0.68,0.66313360199446,-0.42263232253142624,-1.3220996234865783,-1.568050681671593,-0.21354691684246063,-2.1354691684246063
0.6900000000000001,0.6495875640169476,-0.43851399244635825,-1.3868851449571404,-1.5881669914931986,-0.20116309821605682,-2.0116309821605682
0.7000000000000001,0.6354004615394074,-0.4545839551924727,-1.4503019782303026,-1.6069962746114466,-0.18829283118247986,-1.8829283118247986
0.71,0.6205862955191553,-0.4708288658113451,-1.5122875385480314,-1.6244910618872377,-0.17494787275791168,-1.7494787275791168
0.72,0.6051596857495171,-0.4872349170509259,-1.5727806536459015,-1.6406051239580843,-0.16114062070846558,-1.6114062070846558
0.73,0.5891358564318585,-0.5037878523891558,-1.6317216241227315,-1.6552935338229868,-0.14688409864902496,-1.4688409864902496
0.74,0.5725306211511353,-0.5204729798026382,-1.6890522823566922,-1.6685127413482401,-0.13219207525253296,-1.3219207525253296
0.75,0.5553603672697958,-0.537275185989798,-1.7447160499097196,-1.680220618715975,-0.11707877367734909,-1.170787736773491
0.76,0.5376420397554307,-0.5541789512496906,-1.7986579933636073,-1.6903765259892676,-0.10155907273292542,-1.0155907273292542
0.77,0.5193931244581368,-0.571168364770594,-1.8508248785326575,-1.6989413520903323,-0.08564826101064682,-0.8564826101064682
0.78,0.5006316308540949,-0.5882271404997444,-1.9011652229993903,-1.7058775729150508,-0.06936220824718475,-0.6936220824718475
0.79,0.48137607427238893,-0.6053386333669768,-1.9496293469214825,-1.7111492867232296,-0.05271713808178902,-0.5271713808178902
0.8,0.4616454576226143,-0.6224858559889253,-1.996169422059766,-1.7147222621948455,-0.03572975471615791,-0.35729754716157913
0.81,0.4414592526412972,-0.6396514957308536,-2.0407395189789326,-1.7165639741928314,-0.0184171199798584,-0.18417119979858398
0.8200000000000001,0.420837380675645,-0.6568179321816423,-2.083295652374334,-1.716643645078875,-0.0007967088604345918,-0.007967088604345918
0.8300000000000001,0.3998001930235784,-0.6739672550045651,-2.1237958244801747,-1.714932282292284,0.01711362786591053,0.1711362786591053
0.84,0.3783684508494603,-0.6910812821659491,-2.1622000665162293,-1.7114027161384,0.03529566153883934,0.3529566153883934
0.85,0.3565633046953298,-0.7081415785191346,-2.1984704781322115,-1.706029635318555,0.053730808198451996,0.53730808198452
0.86,0.3344062736078749,-0.725129474734538,-2.2325712648108342,-1.6987896215403453,0.07240013778209686,0.7240013778209686
0.87,0.3119192239017273,-0.7420260866301831,-2.264468773192684,-1.6896611895645037,0.09128431975841522,0.9128431975841522
0.88,0.2891243475800534,-0.75881233479653,-2.2941315242880207,-1.6786248166346922,0.11036372929811478,1.1036372929811478
0.89,0.2660441404337231,-0.7754689646012847,-2.321530244542741,-1.665662980475463,0.12961836159229279,1.2961836159229279
0.9,0.24270137984068338,-0.7919765665220329,-2.34663789472784,-1.650760192074813,0.14902788400650024,1.4902788400650024
0.91,0.21911910228743328,-0.8083155968216014,-2.3694296966238695,-1.6339030299568549,0.1685716211795807,1.6857162117958069
0.92,0.19532058063479563,-0.8244663985139922,-2.389883157474045,-1.6150801692390815,0.18822860717773438,1.8822860717773438
0.93,0.17132930115041053,-0.8404092227773506,-2.4079780921818843,-1.5942824263358488,0.20797742903232574,2.0797742903232574
0.9400000000000001,0.14716894033062758,-0.856124250515946,-2.423696643231458,-1.5715027738595382,0.2277965247631073,2.277965247631073
0.9500000000000001,0.12286334153465975,-0.871591614339384,-2.4370232983106037,-1.5467363823438063,0.24766391515731812,2.476639151573181
0.96,0.0984364914540682,-0.8867914208696455,-2.447944905619706,-1.5199806530261413,0.267557293176651,2.67557293176651
0.97,0.0739124964407928,-0.9017037733908508,-2.4564506868509315,-1.491235252120532,0.2874540090560913,2.874540090560913
0.98,0.0493155587170945,-0.9163087947076418,-2.462532247825121,-1.4605021316790954,0.3073312044143677,3.0733120441436768
0.99,0.024669952490881643,-0.9305866502717834,-2.4661835867758275,-1.4277855564141646,0.32716575264930725,3.2716575264930725
1.0,9.618353468608949e-17,-0.9445175718154059,-2.4674011002723395,-1.393092154362239,0.3469340205192566,3.469340205192566
1.01,-0.024669952490881452,-0.9580818811630596,-2.4661835867758275,-1.3564309347653762,0.36661219596862793,3.6661219596862793
1.02,-0.04931555871709431,-0.9712600141331785,-2.462532247825121,-1.3178132970118897,0.38617637753486633,3.8617637753486633
1.03,-0.07391249644079259,-0.9840325450653907,-2.4564506868509315,-1.277253093221225,0.40560203790664673,4.056020379066467
1.04,-0.098436491454068,-0.9963802113478303,-2.447944905619706,-1.2347666282439604,0.42486464977264404,4.24864649772644
1.05,-0.12286334153465954,-1.0082839383020763,-2.437023298310604,-1.190372695424594,0.44393932819366455,4.4393932819366455
1.06,-0.14716894033062772,-1.0197248642469057,-2.4236966432314575,-1.1440925944829359,0.4628010094165802,4.628010094165802
1.07,-0.1713293011504107,-1.0306843657110585,-2.4079780921818843,-1.0959501464152708,0.481424480676651,4.81424480676651
1.08,-0.19532058063479577,-1.0411440828844207,-2.389883157474045,-1.045971717336215,0.49978429079055786,4.997842907905579
1.09,-0.21911910228743342,-1.0510859450096033,-2.3694296966238695,-0.9941862125182525,0.5178550481796265,5.178550481796265
1.1,-0.24270137984068355,-1.0604921962205556,-2.34663789472784,-0.9406251210952178,0.5356109142303467,5.356109142303467
1.11,-0.26604414043372326,-1.0693454209341438,-2.321530244542741,-0.8853224713588134,0.5530264973640442,5.530264973640442
1.12,-0.2891243475800535,-1.0776285695993577,-2.2941315242880203,-0.8283148665213957,0.570076048374176,5.70076048374176
1.1300000000000001,-0.3119192239017275,-1.0853249839696804,-2.264468773192684,-0.76964143703226,0.5867342948913574,5.867342948913574
1.1400000000000001,-0.3344062736078747,-1.0924184224350615,-2.2325712648108342,-0.7093438465381041,0.6029759049415588,6.029759049415588
1.1500000000000001,-0.35656330469533,-1.0988930850558685,-2.198470478132211,-0.6474662620807067,0.6187758445739746,6.187758445739746
1.16,-0.3783684508494598,-1.104733638060396,-2.16220006651623,-0.5840553004527465,0.634109616279602,6.3410961627960205
1.17,-0.39980019302357817,-1.109925238044351,-2.1237958244801747,-0.5191599983954802,0.6489530205726624,6.4895302057266235
1.18,-0.42083738067564486,-1.1144535554550827,-2.0832956523743342,-0.4528317410731688,0.663282573223114,6.63282573223114
1.19,-0.44145925264129704,-1.1183047975393716,-2.040739518978933,-0.38512420842889694,0.6770753264427185,6.770753264427185
1.2,-0.4616454576226141,-1.1214657306355662,-1.9961694220597668,-0.31609330961946397,0.6903089880943298,6.903089880943298
1.21,-0.4813760742723889,-1.1239237011544179,-1.949629346921483,-0.24579705188516526,0.7029625773429871,7.029625773429871
1.22,-0.5006316308540948,-1.1256666560830786,-1.9011652229993907,-0.1742954928660765,0.7150155901908875,7.1501559019088745
1.23,-0.5193931244581367,-1.1266831621777968,-1.8508248785326578,-0.10165060947183517,0.7264488339424133,7.264488339424133
1.24,-0.5376420397554306,-1.126962424024125,-1.798657993363608,-0.02792618463281539,0.7372442483901978,7.3724424839019775
1.25,-0.5553603672697958,-1.1264943012626611,-1.74471604990972,0.046812276146374676,0.7473846077919006,7.473846077919006
1.26,-0.5725306211511352,-1.125269324026653,-1.689052282356693,0.1224977236008272,0.7568544745445251,7.5685447454452515
1.27,-0.5891358564318583,-1.1232787078431579,-1.631721624122732,0.19906161834951494,0.7656389474868774,7.656389474868774
1.28,-0.6051596857495172,-1.1205143666268562,-1.572780653645901,0.2764341216301546,0.7737250328063965,7.737250328063965
1.29,-0.6205862955191552,-1.116968924839399,-1.512287538548032,0.35454417874570937,0.7811005711555481,7.811005711555481
1.3,-0.6354004615394074,-1.1126357283970576,-1.450301978230303,0.4333196442341432,0.7877546548843384,7.877546548843384
1.31,-0.6495875640169475,-1.107508854147862,-1.3868851449571409,0.512687424919568,0.793677806854248,7.9367780685424805
1.32,-0.6631336019944604,-1.1015831185142744,-1.3220996234865767,0.5925735633587464,0.7988613843917847,7.988613843917847
1.33,-0.6760252071678943,-1.0948540850033752,-1.256009349306655,0.6729033510899171,0.8032978773117065,8.032978773117065
1.34,-0.6882496570793658,-1.0873180703461405,-1.1886795455388144,0.7536014657234772,0.8069811463356018,8.069811463356018
1.35,-0.6997948876726882,-1.078972150100279,-1.1201766585705473,0.8345920245861633,0.8099055886268616,8.099055886268616
1.36,-0.7106495051991385,-1.069814163299394,-1.0505682924808364,0.9157986800884826,0.8120665550231934,8.120665550231934
